hour	cf
1631	0.199
1632	0.175
1633	0.156
1634	0.168
1635	0.235
1636	0.339
1637	0.387
1638	0.709
1639	0.943
1640	0.961
1641	0.965
1642	0.959
1643	0.966
1644	0.968
1645	0.951
1646	0.919
1647	0.903
1648	0.889
1649	0.877
1650	0.864
1651	0.851
1652	0.837
1653	0.837
1654	0.835
1655	0.834
1656	0.817
1657	0.806
1658	0.808
1659	0.774
1660	0.731
1661	0.624
1662	0.524
1663	0.413
1664	0.337
1665	0.238
1666	0.176
1667	0.27
1668	0.407
1669	0.567
1670	0.704
1671	0.793
1672	0.868
1673	0.929
1674	0.965
1675	0.983
1676	0.985
1677	0.981
1678	0.956
1679	0.89
1680	0.841
1681	0.705
1682	0.762
1683	0.797
1684	0.805
1685	0.797
1686	0.769
1687	0.765
1688	0.781
1689	0.777
1690	0.785
1691	0.861
1692	0.932
1693	0.969
1694	0.982
1695	0.988
1696	0.989
1697	0.984
1698	0.975
1699	0.973
1700	0.976
1701	0.98
1702	0.984
1703	0.988
1704	0.99
1705	0.989
1706	0.988
1707	0.986
1708	0.984
1709	0.978
1710	0.966
1711	0.955
1712	0.943
1713	0.926
1714	0.902
1715	0.917
1716	0.917
1717	0.873
1718	0.819
1719	0.772
1720	0.677
1721	0.646
1722	0.704
1723	0.79
1724	0.857
1725	0.897
1726	0.917
1727	0.928
1728	0.94
1729	0.957
1730	0.967
1731	0.969
1732	0.966
1733	0.96
1734	0.951
1735	0.928
1736	0.883
1737	0.819
1738	0.787
1739	0.831
1740	0.832
1741	0.832
1742	0.805
1743	0.757
1744	0.644
1745	0.551
1746	0.413
1747	0.282
1748	0.173
1749	0.157
1750	0.226
1751	0.524
1752	0.837
1753	0.892
1754	0.905
1755	0.926
1756	0.924
1757	0.923
1758	0.913
1759	0.884
1760	0.849
1761	0.835
1762	0.851
1763	0.872
1764	0.849
1765	0.82
1766	0.779
1767	0.707
1768	0.605
1769	0.469
1770	0.345
1771	0.265
1772	0.211
1773	0.162
1774	0.113
1775	0.077
1776	0.08
1777	0.124
1778	0.193
1779	0.242
1780	0.238
1781	0.241
1782	0.305
1783	0.323
1784	0.293
1785	0.341
1786	0.313
1787	0.366
1788	0.407
1789	0.459
1790	0.518
1791	0.593
1792	0.625
1793	0.557
1794	0.535
1795	0.531
1796	0.498
1797	0.485
1798	0.478
1799	0.543
1800	0.582
1801	0.661
1802	0.682
1803	0.666
1804	0.606
1805	0.548
1806	0.56
1807	0.586
1808	0.626
1809	0.638
1810	0.679
1811	0.753
1812	0.812
1813	0.837
1814	0.819
1815	0.788
1816	0.738
1817	0.652
1818	0.536
1819	0.481
1820	0.484
1821	0.465
1822	0.431
1823	0.37
1824	0.357
1825	0.339
1826	0.325
1827	0.325
1828	0.327
1829	0.329
1830	0.37
1831	0.327
1832	0.336
1833	0.345
1834	0.357
1835	0.54
1836	0.644
1837	0.635
1838	0.539
1839	0.469
1840	0.407
1841	0.326
